name_uz,branch_name_uz,work_domain,name_uz_cyrl,name_ru
Direktor,Ijro apparati,natural_gas,,
Direktorning birinchi o‘rinbosari - bosh muhandis,Ijro apparati,natural_gas,,
Tabiiy va suyultirilgan gazni sotish bo‘yicha direktorning o‘rinbosari,Ijro apparati,natural_gas,,
Bosh muhandis o‘rinbosari ,Ijro apparati,natural_gas,,
Matbuot kotibi,Ijro apparati,natural_gas,,
Xizmat boshlig‘i ,Markaziy dispetcherlik xizmati,natural_gas,,
Dispetcher,Markaziy dispetcherlik xizmati,natural_gas,,
Bo‘lim boshlig‘i ,Gaz ta’minoti ob’ektlaridan samarali foydalanish bo‘limi,natural_gas,,
Yetakchi muhandis,Gaz ta’minoti ob’ektlaridan samarali foydalanish bo‘limi,natural_gas,,
Bo‘lim boshlig‘i ,"Mehnatni muhofaza qilish, ekologik va sanoat xavfsizligi  bo‘limi",natural_gas,,
Yetakchi muhandis,"Mehnatni muhofaza qilish, ekologik va sanoat xavfsizligi  bo‘limi",natural_gas,,
Bo‘lim boshlig‘i ,Qurilish va ta’mirlash bo‘limi,natural_gas,,
Yetakchi muhandis,Qurilish va ta’mirlash bo‘limi,natural_gas,,
Bo‘lim boshlig‘i ,Transport va maxsus texnika bo‘limi,natural_gas,,
Yetakchi muhandis,Transport va maxsus texnika bo‘limi,natural_gas,,
Dispetcher,Transport va maxsus texnika bo‘limi,natural_gas,,
Yetakchi muhandis,Kadastr bo‘limi,natural_gas,,
Bo‘lim boshlig‘i ,Energiya manbalari balansini tuzish bo‘limi,natural_gas,,
Yetakchi mutaxassis,Energiya manbalari balansini tuzish bo‘limi,natural_gas,,
Bo‘lim boshlig‘i ,Mahalla iste’molchilari bilan ishlash bo‘limi,natural_gas,,
Bosh mutaxassis,Mahalla iste’molchilari bilan ishlash bo‘limi,natural_gas,,
Yetakchi muhandis,Mahalla iste’molchilari bilan ishlash bo‘limi,natural_gas,,
Bosh mutaxassis,Elektron gaz hisoblash uskunalarini texnik jihatdan tartibga solish va muvofiqlashtirish bo‘limi,natural_gas,,
Yetakchi muhandis,Elektron gaz hisoblash uskunalarini texnik jihatdan tartibga solish va muvofiqlashtirish bo‘limi,natural_gas,,
Bo‘lim boshlig‘i ,"Kichik, o‘rta biznes va byudjet iste’molchilari bilan ishlash bo‘limi",natural_gas,,
Yetakchi muhandis,"Kichik, o‘rta biznes va byudjet iste’molchilari bilan ishlash bo‘limi",natural_gas,,
Bo‘lim boshlig‘i ,Yirik iste’molchilar bilan ishlash bo‘limi,natural_gas,,
Yetakchi muhandis,Yirik iste’molchilar bilan ishlash bo‘limi,natural_gas,,
Bo‘lim boshlig‘i ,Metrologik ta’minot bo‘limi,natural_gas,,
Yetakchi muhandis,Metrologik ta’minot bo‘limi,natural_gas,,
Yetakchi mutaxassis,Raqamlashtirish bo‘limi,natural_gas,,
Bo‘lim boshlig‘i ,Nazorat va murojaatlar bilan ishlash bo‘limi,natural_gas,,
Yetakchi mutaxassis,Nazorat va murojaatlar bilan ishlash bo‘limi,natural_gas,,
Direktorning yordamchisi,Nazorat va murojaatlar bilan ishlash bo‘limi,natural_gas,,
"""Call Centre"" operatori","""Call Centre"" xizmati",natural_gas,,
Bo‘lim boshlig‘i ,Yuridik bo‘lim,natural_gas,,
