question_order,question_type,text_uz,text_uz_cyrl,text_ru,points,is_active,work_domain,category,choice_1_text_uz,choice_1_text_uz_cyrl,choice_1_text_ru,choice_1_is_correct,choice_2_text_uz,choice_2_text_uz_cyrl,choice_2_text_ru,choice_2_is_correct,choice_3_text_uz,choice_3_text_uz_cyrl,choice_3_text_ru,choice_3_is_correct,choice_4_text_uz,choice_4_text_uz_cyrl,choice_4_text_ru,choice_4_is_correct,choice_5_text_uz,choice_5_text_uz_cyrl,choice_5_text_ru,choice_5_is_correct
1,single,"""Hududgazta’minot"" акциядорлик жамияти қайси норматив ҳужжатга асосан ташкил этилган?","""Hududgazta’minot"" aksiyadorlik jamiyati qaysi normativ hujjatga asosan tashkil etilgan?",На основании какого нормативного документа было создано акционерное общество «Худудгазтаъминот»?,1,TRUE,both,other,2017 yil 8 noyabrdagi PQ-3379 sonli Oʻzbekiston Respublikasi Prezidenti Qarori,2017 йил 8 ноябрдаги ПҚ-3379 сонли Ўзбекистон Республикаси Президенти Қарори,Постановление Президента Республики Узбекистан от 8 ноября 2017 г. № ПП-3379,FALSE,2020 yil 18 iyundagi PF-6010 sonli Oʻzbekiston Respublikasi Prezidenti Farmoni,2020 йил 18 июндаги ПФ-6010 сонли Ўзбекистон Республикаси Президенти Фармони,Постановление Президента Республики Узбекистан от 18 июня 2020 г. № ПФ-6010,FALSE,2020 yil 24 sentyabrdagi PQ-4840 sonli Oʻzbekiston Respublikasi Prezidenti Qarori,2020 йил 24 сентябрдаги ПҚ-4840 сонли Ўзбекистон Республикаси Президенти Қарори,Постановление Президента Республики Узбекистан №ПП-4840 от 24 сентября 2020 г.,FALSE,2019 yil 9 iyuldagi PQ-4388 sonli Oʻzbekiston Respublikasi Prezidenti Qarori,2019 йил 9 июлдаги ПҚ-4388 сонли Ўзбекистон Республикаси Президенти Қарори,Постановление Президента Республики Узбекистан №ПП-4388 от 9 июля 2019 г.,TRUE,,,,
2,single,Ўзбекистон Республикаси Вазирлар Маҳкамасининг 2024 йил 16 апрелдаги 204-сон қарорига мувофиқ Коммунал-маиший эҳтиёжлар учун аҳоли истеъмолчиларга бир куб метр табиий газнинг нархи (шкала бўйича минимал нархи) қайси қаторда тўғри кўрсатилган?,Oʻzbekiston Respublikasi Vazirlar Mahkamasining 2024 yil 16 apreldagi 204-son qaroriga muvofiq Kommunal-maishiy ehtiyojlar uchun aholi iste'molchilarga bir kub metr tabiiy gazning narxi (shkala boʻyicha minimal narxi) qaysi qatorda toʻgʻri koʻrsatilgan?,"В соответствии с Постановлением Кабинета Министров Республики Узбекистан № 204 от 16 апреля 2024 года, в какой строке правильно указана цена одного кубометра природного газа для коммунально-бытовых нужд (минимальная цена по шкале) для населения?",1,TRUE,both,other,380 soʻm,380 сўм,380 сумов,FALSE,650 soʻm,650 сўм,650 сумов,FALSE,1000 soʻm,1000 сўм,1000 сумов,TRUE,1800 soʻm,1800 сўм,1800 сумов,FALSE,,,,
3,single,"Ўзбекистон Республикаси Вазирлар Маҳкамасининг ""Газ хўжалигида хавфсизлик қоидаларини тасдиқлаш тўғрисида""ги қарори қачон қабул қилинган.","Oʻzbekiston Respublikasi Vazirlar Mahkamasining ""Gaz xoʻjaligida xavfsizlik qoidalarini tasdiqlash toʻgʻrisida""gi qarori qachon qabul qilingan.",Когда было принято Постановление Кабинета Министров Республики Узбекистан «Об утверждении Правил безопасности в газовой отрасли»?,1,TRUE,both,other,2019 yil 18 martdagi 226-sonli,2019 йил 18 мартдаги 226-сонли,От 18 марта 2019 г. № 226,TRUE,2019 yil 16 martdagi 226-sonli,2019 йил 16 мартдаги 226-сонли,От 16 марта 2019 г. № 226,FALSE,2019 yil 16 martdagi 225-sonli,2019 йил 16 мартдаги 225-сонли,225 от 16 марта 2019 г.,FALSE,2021 yil 16 martdagi 226-sonli,2021 йил 16 мартдаги 226-сонли,226 от 16 марта 2021 г.,FALSE,,,,
4,single,Оилавий корхоналарга табиий газ нархи  бир куб метр учун неча сўм этиб белгиланган?,Oilaviy korxonalarga tabiiy gaz narxi  bir kub metr uchun necha soʻm etib belgilangan?,Сколько сумов за кубометр составляет цена природного газа для семейных предприятий?,1,TRUE,both,other,650 soʻm,650 сўм,650 сумов,FALSE,1000 soʻm,1000 сўм,1000 сумов,TRUE,1800 soʻm,1800 сўм,1800 сумов,FALSE,2250 soʻm,2250 сўм,2250 сумов,FALSE,,,,
5,single,Суюлтирилган углеводород газининг формуласи қайси қаторда тўғри келтирилган?,Suyultirilgan uglevodorod gazining formulasi qaysi qatorda toʻgʻri keltirilgan?,В какой строке правильно указана формула для сжиженного углеводородного газа?,1,TRUE,both,other,C4,C4,С4,FALSE,N2,N2,N2,FALSE,C3H8,C3H8,C3H8,TRUE,H2S,H2S,H2S,FALSE,,,,
6,single,Бугунги кунда аҳоли истеъмолчиларга етказиб берилаётган суюлтирилган газнинг 1 кг нархи неча сўм этиб белгиланган?,Bugungi kunda aholi iste'molchilarga etkazib berilayotgan suyultirilgan gazning 1 kg narxi necha soʻm etib belgilangan?,"Какова стоимость 1 кг сжиженного газа, поставляемого потребителям сегодня?",1,TRUE,both,other,1400 soʻm,1400 сўм,1400 сумов,FALSE,1600 soʻm,1600 сўм,1600 сумов,FALSE,2000 soʻm,2000 сўм,2000 сумов,TRUE,2250 soʻm,2250 сўм,2250 сумов,FALSE,,,,
7,single,"Газ хўжалиги тизимлари объектларида монтаж, таъмирлаш ва ишга тушириш-созлаш ишларини бажариш учун қуйидаги фаолият турлари бўйича қонунчиликда белгиланган тартибда кимдан  рухсатнома олинади?","Gaz xoʻjaligi tizimlari ob'ektlarida montaj, ta'mirlash va ishga tushirish-sozlash ishlarini bajarish uchun quyidagi faoliyat turlari boʻyicha qonunchilikda belgilangan tartibda kimdan  ruxsatnoma olinadi?","У кого в установленном законом порядке выдаётся разрешение на следующие виды деятельности по монтажу, ремонту и наладке систем газоснабжения?",1,TRUE,both,other,Energetika vazirligi,Энергетика вазирлиги,Министерство энергетики,FALSE,Sanoat xavfsizligi davlat qoʻmitasi,Саноат хавфсизлиги давлат қўмитаси,Государственный комитет промышленной безопасности,TRUE,Favqulodda vaziyatlar vazirligi,Фавқулодда вазиятлар вазирлиги,МЧС,FALSE,Mehnat vazirligi,Меҳнат вазирлиги,Министерство труда,FALSE,,,,
8,single,«Табиий газ назорати ва ҳисобининг автоматлаштирилган тизимини жорий этиш» лойиҳасини амалга оширишга доир қўшимча чора-тадбирлар тўғрисидаги Қарорнинг рақами ва қабул қилинган санаси қайси қаторда тўғри кўрсатилган?,«Tabiiy gaz nazorati va hisobining avtomatlashtirilgan tizimini joriy etish» loyihasini amalga oshirishga doir qoʻshimcha chora-tadbirlar toʻgʻrisidagi Qarorning raqami va qabul qilingan sanasi qaysi qatorda toʻgʻri koʻrsatilgan?,В какой строке правильно указаны номер и дата принятия Постановления о дополнительных мерах по реализации проекта «Внедрение автоматизированной системы контроля и учёта природного газа»?,1,TRUE,both,other,"2019 yil 9 iyul, PQ-4388 son","2019 йил 9 июл, ПҚ-4388 сон","9 июля 2019 г., № ПП-4388",FALSE,"2020 yil 18 iyun, PF-6010 son","2020 йил 18 июн, ПФ-6010 сон","18 июня 2020 г., № ПФ-6010",FALSE,"2020 yil 24 sentyabr, PQ-4840 son","2020 йил 24 сентябр, ПҚ-4840 сон","24 сентября 2020 г., №ПП-4840",TRUE,"2020 yil 5 oktyabr, PF-6079 son","2020 йил 5 октябр, ПФ-6079 сон","5 октября 2020 г., №ПФ-6079",FALSE,,,,
9,single,Корхона ва ташкилотларни табиий газ билан газлаштириш учун газ таъминоти ташкилоти томонидан бериладиган “техник шарт”ларнинг амал қилиш муддати қанча?,Korxona va tashkilotlarni tabiiy gaz bilan gazlashtirish uchun gaz ta'minoti tashkiloti tomonidan beriladigan “texnik shart”larning amal qilish muddati qancha?,"Какой срок действия технических условий, выданных газоснабжающей организацией на газификацию предприятий и организаций природным газом?",1,TRUE,both,other,1 yil,1 йил,1 год,TRUE,2 yil,2 йил,2 года,FALSE,3 yil,3 йил,3 года,FALSE,4 yil,4 йил,4 года,FALSE,,,,
10,single,Бир киши ҳисобига иситиладиган бино нормаси неча куб метр ҳажмида белгиланган?,Bir kishi hisobiga isitiladigan bino normasi necha kub metr hajmida belgilangan?,Какой объём отапливаемого помещения на одного человека?,1,TRUE,both,other,11 m3,11 м3,11 м3,FALSE,15 m3,15 м3,15 м3,FALSE,16 m3,16 м3,16 м3,FALSE,43 m3,43 м3,43 м3,TRUE,,,,
